,source,target,value
318,Japan,Brazil,0.0
319,Brazil,Japan,0.0
320,France,Bolivia,0.0
321,Bolivia,France,0.0
322,Argentina,Paraguay,0.0
323,Paraguay,Argentina,2.74
324,United Kingdom,Paraguay,0.0
325,Paraguay,United Kingdom,4.5300002
326,France,Paraguay,0.0
327,Paraguay,France,0.25999999
328,Italy,Paraguay,0.0
329,Paraguay,Italy,0.0
330,South Africa,Paraguay,0.0
331,Paraguay,South Africa,0.0044100001
332,Australia,Paraguay,0.0
333,Paraguay,Australia,0.0099999998
334,New Zealand,Paraguay,0.0
335,Paraguay,New Zealand,4.5000001e-05
336,France,Chile,0.0
337,Chile,France,2.76
338,United Kingdom,Argentina,29.139999
339,Argentina,United Kingdom,163.06
340,Netherlands,Argentina,0.0099999998
341,Argentina,Netherlands,0.0
342,France,Argentina,0.12
343,Argentina,France,24.234455
344,Germany,Argentina,0.07
345,Argentina,Germany,0.0
346,Poland,Argentina,0.0
347,Argentina,Poland,0.0
348,Czechoslovakia,Argentina,0.00053600001
349,Argentina,Czechoslovakia,0.0
350,Albania,Argentina,0.0
351,Argentina,Albania,0.0
352,Yugoslavia,Argentina,8.9000001e-05
353,Argentina,Yugoslavia,0.0
354,Greece,Argentina,0.003573
355,Argentina,Greece,0.0
356,Norway,Argentina,0.38999999
357,Argentina,Norway,0.0
358,Denmark,Argentina,0.0059839999
359,Argentina,Denmark,0.0
360,Ethiopia,Argentina,0.0
361,Argentina,Ethiopia,0.0
362,Egypt,Argentina,0.0
363,Argentina,Egypt,0.0
364,Japan,Argentina,0.00065499998
365,Argentina,Japan,0.0
366,France,Uruguay,0.050000001
367,Uruguay,France,0.059999999
368,Netherlands,United Kingdom,5.04
369,United Kingdom,Netherlands,0.0
370,France,United Kingdom,8.6000004
371,United Kingdom,France,112.93407
372,Germany,United Kingdom,8.46
373,United Kingdom,Germany,0.0
374,Poland,United Kingdom,0.00052399997
375,United Kingdom,Poland,0.0
376,Czechoslovakia,United Kingdom,0.0099999998
377,United Kingdom,Czechoslovakia,0.0
378,Albania,United Kingdom,0.0
379,United Kingdom,Albania,0.0
380,Yugoslavia,United Kingdom,1.6e-05
381,United Kingdom,Yugoslavia,0.0
382,Greece,United Kingdom,0.000214
383,United Kingdom,Greece,0.0
384,Norway,United Kingdom,2.1400001
385,United Kingdom,Norway,0.0
386,Denmark,United Kingdom,31.32
387,United Kingdom,Denmark,0.0
388,Ethiopia,United Kingdom,0.36000001
389,United Kingdom,Ethiopia,0.0
390,Egypt,United Kingdom,56.139999
391,United Kingdom,Egypt,0.0
392,Japan,United Kingdom,0.0099999998
393,United Kingdom,Japan,0.0
394,Netherlands,Ireland,0.0
395,Ireland,Netherlands,0.0
396,France,Ireland,0.0
397,Ireland,France,0.28999999
398,Germany,Ireland,0.0
399,Ireland,Germany,0.0
400,France,Netherlands,0.0
401,Netherlands,France,4.7800002
402,Germany,Netherlands,0.0
403,Netherlands,Germany,0.0
404,Italy,Netherlands,0.0
405,Netherlands,Italy,0.0
406,South Africa,Netherlands,0.0
407,Netherlands,South Africa,0.002937
408,Australia,Netherlands,0.0
409,Netherlands,Australia,0.001439
410,New Zealand,Netherlands,0.0
411,Netherlands,New Zealand,1.3e-05
412,Switzerland,France,43.678234
413,France,Switzerland,0.0
414,Spain,France,4.8600001
415,France,Spain,0.0
416,Portugal,France,4.4099998
417,France,Portugal,0.0
418,Germany,France,37.125134
419,France,Germany,0.0
420,Poland,France,0.0042770002
421,France,Poland,0.0
422,Hungary,France,0.25
423,France,Hungary,0.0
424,Czechoslovakia,France,0.02
425,France,Czechoslovakia,0.0
426,Italy,France,2.03
427,France,Italy,0.0
428,Albania,France,0.0
429,France,Albania,0.0
430,Yugoslavia,France,0.0066430001
431,France,Yugoslavia,0.0
432,Greece,France,0.30000001
433,France,Greece,0.0
434,Bulgaria,France,0.050000001
435,France,Bulgaria,0.0
436,Romania,France,0.85000002
437,France,Romania,0.0
438,Russia,France,1.39
439,France,Russia,0.0
440,Finland,France,0.31
441,France,Finland,0.0
442,Sweden,France,10.748796
443,France,Sweden,0.0
444,Norway,France,2.1400001
445,France,Norway,0.0
446,Denmark,France,10.579193
447,France,Denmark,0.0
448,Iceland,France,0.0
449,France,Iceland,0.0
450,South Africa,France,1.5
451,France,South Africa,0.029999999
452,Iran,France,0.029999999
453,France,Iran,0.0
454,Turkey,France,2.22
455,France,Turkey,0.0
456,Iraq,France,2.5699999
457,France,Iraq,0.0
458,Egypt,France,29.050379
459,France,Egypt,0.0
460,Afghanistan,France,0.0
461,France,Afghanistan,0.0
462,China,France,0.47
463,France,China,0.0
464,Japan,France,0.029999999
465,France,Japan,0.0
466,Thailand,France,0.0
467,France,Thailand,0.0
468,Australia,France,17.457003
469,France,Australia,0.0074769999
470,New Zealand,France,5.4299998
471,France,New Zealand,0.00095399999
472,Italy,Germany,0.0
473,Germany,Italy,0.0
474,South Africa,Germany,0.0
475,Germany,South Africa,0.0091220001
476,Australia,Germany,0.0
477,Germany,Australia,0.0099999998
478,New Zealand,Germany,0.0
479,Germany,New Zealand,0.00095399999
480,Italy,Poland,0.0
481,Poland,Italy,0.0
482,South Africa,Poland,0.0
483,Poland,South Africa,0.00016
484,Australia,Poland,0.0
485,Poland,Australia,0.001053
486,New Zealand,Poland,0.0
487,Poland,New Zealand,0.0
488,Russia,Hungary,0.5
489,Hungary,Russia,0.40000001
490,Italy,Czechoslovakia,0.0
491,Czechoslovakia,Italy,0.0
492,South Africa,Czechoslovakia,0.0
493,Czechoslovakia,South Africa,0.0029130001
494,Australia,Czechoslovakia,0.0
495,Czechoslovakia,Australia,0.0
496,New Zealand,Czechoslovakia,0.0
497,Czechoslovakia,New Zealand,0.0
498,Albania,Italy,0.0
499,Italy,Albania,0.0
500,Yugoslavia,Italy,0.0
501,Italy,Yugoslavia,0.0
502,Greece,Italy,0.0
503,Italy,Greece,0.0
504,Norway,Italy,0.0
505,Italy,Norway,0.0
506,Denmark,Italy,0.0
507,Italy,Denmark,0.0
508,Ethiopia,Italy,0.0
509,Italy,Ethiopia,0.0
510,Egypt,Italy,0.0
511,Italy,Egypt,0.0
512,Japan,Italy,0.0
513,Italy,Japan,0.0
514,Australia,Albania,0.0
515,Albania,Australia,0.0
516,New Zealand,Albania,0.0
517,Albania,New Zealand,0.0
518,South Africa,Yugoslavia,0.0
519,Yugoslavia,South Africa,0.0
520,Australia,Yugoslavia,0.0
521,Yugoslavia,Australia,3.2e-05
522,New Zealand,Yugoslavia,0.0
523,Yugoslavia,New Zealand,0.0
524,South Africa,Greece,0.0
525,Greece,South Africa,0.001756
526,Australia,Greece,0.0
527,Greece,Australia,0.0
528,New Zealand,Greece,0.0
529,Greece,New Zealand,0.00339
530,Romania,Bulgaria,3.9000001
531,Bulgaria,Romania,2.5999999
532,South Africa,Norway,0.0
533,Norway,South Africa,0.02
534,Australia,Norway,0.0
535,Norway,Australia,0.000161
536,New Zealand,Norway,0.0
537,Norway,New Zealand,0.0
538,South Africa,Denmark,0.0
539,Denmark,South Africa,0.0035039999
540,Australia,Denmark,0.0
541,Denmark,Australia,0.0
542,New Zealand,Denmark,0.0
543,Denmark,New Zealand,0.0
544,South Africa,Ethiopia,0.0
545,Ethiopia,South Africa,5.9999998e-05
546,Australia,Ethiopia,0.0
547,Ethiopia,Australia,0.00036899999
548,New Zealand,Ethiopia,0.0
549,Ethiopia,New Zealand,0.0
550,Egypt,South Africa,0.92000002
551,South Africa,Egypt,0.0
552,Japan,South Africa,0.0099999998
553,South Africa,Japan,0.0
554,Australia,Egypt,0.0
555,Egypt,Australia,2.75
556,New Zealand,Egypt,0.0
557,Egypt,New Zealand,0.079999998
558,Japan,China,87.199997
559,China,Japan,200.17999
560,Australia,Japan,0.0
561,Japan,Australia,1.6e-05
562,New Zealand,Japan,0.0
563,Japan,New Zealand,0.001954
